Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.93076164,175.67857142857142,-40.892857142857146,-40.892857142857146,1.0
20000,1.4189383,0.9856138,175.66666666666666,-39.6578947368421,-39.6578947368421,1.0
30000,1.4176519,0.20220761,175.66666666666666,-43.32142857142857,-43.32142857142857,1.0
40000,1.4175873,0.20619658,178.76363636363635,-38.63392857142857,-38.63392857142857,1.0
50000,1.416214,-0.5021275,175.66666666666666,-39.43859649122807,-39.43859649122807,1.0
60000,1.4160569,-0.5021249,175.66071428571428,-29.732142857142858,-29.732142857142858,1.0
70000,1.4143796,-1.3609884,175.66666666666666,-39.8421052631579,-39.8421052631579,1.0
80000,1.4140732,-1.4789886,175.66666666666666,-37.607142857142854,-37.607142857142854,1.0
90000,1.4126254,-1.616192,175.66071428571428,-20.403508771929825,-20.403508771929825,1.0
100000,1.4122576,-1.496507,175.66666666666666,-8.763157894736842,-8.763157894736842,1.0
110000,1.4107796,-1.5182867,175.67857142857142,16.053571428571427,16.053571428571427,1.0
120000,1.4102972,-1.5506607,175.66666666666666,14.824561403508772,14.824561403508772,1.0
130000,1.4087169,-1.5125959,175.66666666666666,50.607142857142854,50.607142857142854,1.0
140000,1.4080473,-1.5620124,175.66071428571428,55.19298245614035,55.19298245614035,1.0
150000,1.407666,-1.5752758,175.66666666666666,48.421052631578945,48.421052631578945,1.0
160000,1.4074632,-1.7440442,175.66071428571428,50.25,50.25,1.0
170000,1.4072715,-1.7493,175.66666666666666,58.973684210526315,58.973684210526315,1.0
180000,1.4071401,-1.6864501,175.66666666666666,51.973214285714285,51.973214285714285,1.0
190000,1.4062462,-1.8450278,175.67857142857142,72.58771929824562,72.58771929824562,1.0
200000,1.4055163,-1.9640434,175.66666666666666,78.97368421052632,78.97368421052632,1.0
210000,1.4045407,-1.9426593,175.66071428571428,69.75892857142857,69.75892857142857,1.0
220000,1.4035772,-1.9724408,175.66666666666666,80.59649122807018,80.59649122807018,1.0
230000,1.4028145,-1.75651,175.66666666666666,106.90178571428571,106.90178571428571,1.0
240000,1.4018929,-1.8470559,175.66071428571428,104.97368421052632,104.97368421052632,1.0
250000,1.4010798,-1.8084017,175.66666666666666,124.83333333333333,124.83333333333333,1.0
260000,1.3998984,-2.0399225,175.66666666666666,114.60714285714286,114.60714285714286,1.0
270000,1.3990237,-1.7955832,175.67857142857142,138.37719298245614,138.37719298245614,1.0
280000,1.3974489,-1.5201088,175.66666666666666,154.32142857142858,154.32142857142858,1.0
290000,1.397146,-1.4529808,175.66071428571428,140.47368421052633,140.47368421052633,1.0
300000,1.3964614,-0.94339204,175.66666666666666,162.28070175438597,162.28070175438597,1.0
310000,1.3962454,-0.8092155,175.66666666666666,164.36607142857142,164.36607142857142,1.0
320000,1.3956255,-0.5138271,175.66071428571428,175.32456140350877,175.32456140350877,1.0
330000,1.3955616,-0.69538057,175.66666666666666,167.42857142857142,167.42857142857142,1.0
340000,1.395314,-0.39163804,175.67857142857142,167.39473684210526,167.39473684210526,1.0
350000,1.3951296,-0.3543297,175.66666666666666,175.82456140350877,175.82456140350877,1.0
360000,1.3941749,-0.1282937,175.66666666666666,201.36607142857142,201.36607142857142,1.0
370000,1.3941469,-0.123888195,175.66071428571428,184.78070175438597,184.78070175438597,1.0
380000,1.3939298,0.24297434,175.66666666666666,198.07142857142858,198.07142857142858,1.0
390000,1.3938657,0.15877289,175.66071428571428,213.1578947368421,213.1578947368421,1.0
400000,1.3927904,0.6477118,175.66666666666666,226.3421052631579,226.3421052631579,1.0
410000,1.3927754,0.7805736,175.66666666666666,223.25892857142858,223.25892857142858,1.0
420000,1.3912104,0.8465327,175.67857142857142,229.08771929824562,229.08771929824562,1.0
430000,1.3912104,1.087894,175.66666666666666,216.73214285714286,216.73214285714286,1.0
440000,1.3890008,0.930265,175.66071428571428,230.7017543859649,230.7017543859649,1.0
450000,1.3889008,1.1395129,175.66666666666666,249.98245614035088,249.98245614035088,1.0
460000,1.387026,1.6956171,175.66666666666666,253.61607142857142,253.61607142857142,1.0
470000,1.386854,2.031147,175.66071428571428,252.32456140350877,252.32456140350877,1.0
480000,1.3854947,2.411918,175.66666666666666,252.32456140350877,252.32456140350877,1.0
490000,1.3852826,3.5130696,175.67857142857142,248.92857142857142,248.92857142857142,1.0
500000,1.3846974,2.859183,175.66666666666666,256.8421052631579,256.8421052631579,1.0
510000,1.3845621,3.1108053,175.66666666666666,247.84821428571428,247.84821428571428,1.0
520000,1.3841556,3.5828853,175.66071428571428,249.17543859649123,249.17543859649123,1.0
530000,1.3840286,3.4170961,175.66666666666666,245.859649122807,245.859649122807,1.0
540000,1.3847599,4.6577573,175.66071428571428,243.92857142857142,243.92857142857142,1.0
550000,1.385048,4.8590226,175.66666666666666,257.2280701754386,257.2280701754386,1.0
560000,1.3850958,4.74833,175.66666666666666,253.32142857142858,253.32142857142858,1.0
570000,1.3851148,5.404277,175.67857142857142,259.3859649122807,259.3859649122807,1.0
580000,1.3850744,5.898822,175.66666666666666,242.49122807017545,242.49122807017545,1.0
590000,1.3850492,6.836654,175.66071428571428,243.39285714285714,243.39285714285714,1.0
600000,1.3851205,6.533313,175.66666666666666,258.2719298245614,258.2719298245614,1.0
610000,1.3851738,7.0055256,175.66666666666666,250.90178571428572,250.90178571428572,1.0
620000,1.384894,7.603206,175.66071428571428,258.3421052631579,258.3421052631579,1.0
630000,1.3846284,8.396701,175.66666666666666,245.94736842105263,245.94736842105263,1.0
640000,1.3844224,8.155497,175.67857142857142,260.36607142857144,260.36607142857144,1.0
650000,1.3841913,8.917384,175.66666666666666,238.28070175438597,238.28070175438597,1.0
660000,1.3838619,9.1523285,175.66666666666666,251.02678571428572,251.02678571428572,1.0
670000,1.3834001,8.440357,175.66071428571428,252.78947368421052,252.78947368421052,1.0
680000,1.3833281,8.812751,175.66666666666666,246.94736842105263,246.94736842105263,1.0
690000,1.3832091,8.798005,175.66071428571428,263.23214285714283,263.23214285714283,1.0
700000,1.3830832,9.054621,175.66666666666666,256.46491228070175,256.46491228070175,1.0
710000,1.3828143,10.63771,175.66666666666666,274.6607142857143,274.6607142857143,1.0
720000,1.3819752,10.528515,175.67857142857142,269.2543859649123,269.2543859649123,1.0
730000,1.37969,11.02846,175.66666666666666,264.10526315789474,264.10526315789474,1.0
740000,1.3793552,10.986657,175.66071428571428,269.4375,269.4375,1.0
750000,1.3781794,12.146884,175.66666666666666,252.3859649122807,252.3859649122807,1.0
760000,1.3778352,12.392553,175.66666666666666,287.35714285714283,287.35714285714283,1.0
770000,1.3761457,13.420021,175.66071428571428,285.4035087719298,285.4035087719298,1.0
780000,1.3759748,13.380033,175.66666666666666,282.37719298245617,282.37719298245617,1.0
790000,1.374817,14.459749,175.66666666666666,305.33035714285717,305.33035714285717,1.0
800000,1.3746755,15.149187,175.67857142857142,318.2894736842105,318.2894736842105,1.0
810000,1.3729155,17.570366,175.66666666666666,308.86607142857144,308.86607142857144,1.0
820000,1.37289,17.04337,175.66071428571428,327.2456140350877,327.2456140350877,1.0
830000,1.3718693,18.273594,175.66666666666666,352.37719298245617,352.37719298245617,1.0
840000,1.3718694,18.426046,175.66666666666666,363.42857142857144,363.42857142857144,1.0
850000,1.371191,20.146854,175.66071428571428,355.70175438596493,355.70175438596493,1.0
860000,1.3711718,20.438555,175.66666666666666,340.125,340.125,1.0
870000,1.3707309,21.71766,175.67857142857142,382.92105263157896,382.92105263157896,1.0
880000,1.3706926,22.157274,175.66666666666666,386.4122807017544,386.4122807017544,1.0
890000,1.3694886,23.180475,175.66666666666666,393.54464285714283,393.54464285714283,1.0
900000,1.3693236,23.73363,175.66071428571428,408.7456140350877,408.7456140350877,1.0
910000,1.3682224,24.765944,175.66666666666666,391.61607142857144,391.61607142857144,1.0
920000,1.3679942,25.023544,175.66071428571428,405.03508771929825,405.03508771929825,1.0
930000,1.3668355,26.094133,175.66666666666666,415.9122807017544,415.9122807017544,1.0
940000,1.366502,26.04738,175.66666666666666,411.75892857142856,411.75892857142856,1.0
950000,1.3654935,25.980759,175.67857142857142,409.3421052631579,409.3421052631579,1.0
960000,1.3651181,26.541819,175.66666666666666,403.875,403.875,1.0
970000,1.3638197,27.215492,175.66071428571428,414.8157894736842,414.8157894736842,1.0
980000,1.3631955,28.3453,175.66666666666666,439.0438596491228,439.0438596491228,1.0
990000,1.361537,28.954964,175.66666666666666,431.6607142857143,431.6607142857143,1.0
1000000,1.3605726,28.774958,175.66071428571428,437.4561403508772,437.4561403508772,1.0
1010000,1.3591422,29.492823,175.66666666666666,432.4035087719298,432.4035087719298,1.0
1020000,1.3581263,29.804047,175.67857142857142,418.4375,418.4375,1.0
1030000,1.3572481,30.364689,175.66666666666666,439.5964912280702,439.5964912280702,1.0
1040000,1.3564746,30.234251,175.66666666666666,409.88392857142856,409.88392857142856,1.0
1050000,1.3563755,31.335009,175.66071428571428,441.359649122807,441.359649122807,1.0
1060000,1.35627,31.862738,175.66666666666666,443.0964912280702,443.0964912280702,1.0
1070000,1.3556243,32.618763,175.66071428571428,451.69642857142856,451.69642857142856,1.0
1080000,1.3547765,33.27981,175.66666666666666,452.87719298245617,452.87719298245617,1.0
1090000,1.3544272,33.99899,175.66666666666666,452.88392857142856,452.88392857142856,1.0
1100000,1.353871,34.002113,175.67857142857142,446.2368421052632,446.2368421052632,1.0
1110000,1.3535626,34.342716,175.66666666666666,464.640350877193,464.640350877193,1.0
1120000,1.35296,35.36106,175.66071428571428,462.7142857142857,462.7142857142857,1.0
1130000,1.3526232,35.656284,175.66666666666666,455.140350877193,455.140350877193,1.0
1140000,1.351776,36.288807,175.66666666666666,449.8482142857143,449.8482142857143,1.0
1150000,1.3516458,36.438595,175.66071428571428,457.0,457.0,1.0
1160000,1.3512267,36.797466,175.66666666666666,457.17543859649123,457.17543859649123,1.0
1170000,1.3512868,37.0915,175.67857142857142,449.7857142857143,449.7857142857143,1.0
1180000,1.3515531,37.861313,175.66666666666666,457.0701754385965,457.0701754385965,1.0
