Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,70.0,-3.8101847,26.30214217688356,26.30214217688356,1.0
20000,1.4189383,66.625,-4.0077343,28.276388260846335,28.276388260846335,1.0
30000,1.4201267,68.41891891891892,-2.187241,37.49391778518219,37.49391778518219,1.0
40000,1.4202424,67.84137931034483,-2.1168618,34.67793017523042,34.67793017523042,1.0
50000,1.4178777,71.93382352941177,-0.8855041,47.18905020978329,47.18905020978329,1.0
60000,1.4174843,77.0,-0.7671236,48.534398530840875,48.534398530840875,1.0
70000,1.4166265,75.4962962962963,-0.39193356,45.85851768227639,45.85851768227639,1.0
80000,1.4164294,73.14814814814815,-0.288246,48.30522301731937,48.30522301731937,1.0
90000,1.4147315,80.00819672131148,0.030799698,76.82704775279663,76.82704775279663,1.0
100000,1.4141921,78.84251968503936,0.19102962,67.68503817704719,67.68503817704719,1.0
110000,1.4128338,79.6829268292683,0.53959626,85.89354743586192,85.89354743586192,1.0
120000,1.4122931,86.53508771929825,0.7025647,99.30175331757779,99.30175331757779,1.0
130000,1.410655,85.23008849557522,1.6627309,87.62212210821103,87.62212210821103,1.0
140000,1.4098377,84.35593220338983,2.188432,96.04537659921066,96.04537659921066,1.0
150000,1.4092114,90.0,2.4017723,117.69729483127594,117.69729483127594,1.0
160000,1.4087963,90.60550458715596,2.647907,130.43852904985803,130.43852904985803,1.0
170000,1.409041,89.09909909909909,3.5308352,127.35765577711769,127.35765577711769,1.0
180000,1.409235,91.18518518518519,3.9170969,118.22109952001671,118.22109952001671,1.0
190000,1.4084322,97.92079207920793,4.1467056,124.73199921116233,124.73199921116233,1.0
200000,1.4075979,93.20192307692308,4.8956046,135.20094974764757,135.20094974764757,1.0
210000,1.4070596,92.4090909090909,5.022701,124.5146772866949,124.5146772866949,1.0
220000,1.4064182,89.66666666666667,5.014931,141.72908926118504,141.72908926118504,1.0
230000,1.4058884,93.28571428571429,5.6396966,142.0971951067587,142.0971951067587,1.0
240000,1.4050553,96.23404255319149,6.159291,164.5851059097876,164.5851059097876,1.0
250000,1.4046534,98.96330275229357,6.4009905,143.44351789907174,143.44351789907174,1.0
260000,1.4038913,92.21904761904761,6.9650974,138.9245268916184,138.9245268916184,1.0
270000,1.403717,104.28125,6.771681,166.47263196714616,166.47263196714616,1.0
280000,1.4033349,104.78947368421052,7.369495,173.0322922579168,173.0322922579168,1.0
290000,1.4031364,113.67857142857143,7.6933913,200.70118927911278,200.70118927911278,1.0
300000,1.4025133,110.80645161290323,7.6819053,183.96847801104835,183.96847801104835,1.0
310000,1.4024719,98.6969696969697,7.83482,181.33265201884265,181.33265201884265,1.0
320000,1.4023088,98.62745098039215,7.636874,183.46796056382286,183.46796056382286,1.0
330000,1.4022647,96.02941176470588,7.9829545,168.0951450653736,168.0951450653736,1.0
340000,1.4020135,101.24242424242425,8.942202,206.92142790555954,206.92142790555954,1.0
350000,1.401941,98.5204081632653,8.179571,186.1434332510889,186.1434332510889,1.0
360000,1.4013609,110.42696629213484,9.182866,219.44157210210065,219.44157210210065,1.0
370000,1.4013422,107.40217391304348,9.270017,213.56813111803035,213.56813111803035,1.0
380000,1.4005617,105.4639175257732,9.86864,217.48124849547943,217.48124849547943,1.0
390000,1.4005327,101.47,9.401158,200.22604067871967,200.22604067871967,1.0
400000,1.3995086,105.2967032967033,10.363055,230.08124874780574,230.08124874780574,1.0
410000,1.3995087,116.41975308641975,9.732933,258.2243871554369,258.2243871554369,1.0
420000,1.3998579,123.65060240963855,10.915562,275.4768294214112,275.4768294214112,1.0
430000,1.3998781,111.81318681318682,10.809904,265.1516459404931,265.1516459404931,1.0
440000,1.3994149,117.53571428571429,11.996971,259.0464271807245,259.0464271807245,1.0
450000,1.3993347,114.07594936708861,12.192103,256.9237489212304,256.9237489212304,1.0
460000,1.3982635,120.875,12.840133,284.7965500645939,284.7965500645939,1.0
470000,1.3980159,124.23376623376623,12.2385025,314.96410297325406,314.96410297325406,1.0
480000,1.3983735,126.32530120481928,12.589922,265.86828882710597,265.86828882710597,1.0
