Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
900000,1.3871574,3.3423042,175.5818181818182,204.57758620689654,204.57758620689654,1.0
910000,1.3871573,4.1048326,175.71428571428572,234.64655172413794,234.64655172413794,1.0
920000,1.3868598,3.7193568,175.7017543859649,193.63793103448276,193.63793103448276,1.0
930000,1.386812,3.2310975,175.58928571428572,189.98245614035088,189.98245614035088,1.0
940000,1.3859786,4.17953,175.71929824561403,193.87719298245614,193.87719298245614,1.0
950000,1.3857157,3.3775089,175.67857142857142,184.28571428571428,184.28571428571428,1.0
960000,1.3844318,4.315798,175.60714285714286,206.88392857142858,206.88392857142858,1.0
970000,1.3837992,4.5720963,175.71428571428572,221.33035714285714,221.33035714285714,1.0
980000,1.3836564,4.82537,175.67857142857142,204.40178571428572,204.40178571428572,1.0
990000,1.3835467,5.488696,175.60714285714286,208.375,208.375,1.0
1000000,1.383323,6.0784655,178.92727272727274,219.76363636363635,219.76363636363635,1.0
1010000,1.3829588,5.9470606,175.67857142857142,220.39285714285714,220.39285714285714,1.0
1020000,1.3827097,6.356745,175.60714285714286,223.14285714285714,223.14285714285714,1.0
1030000,1.3819319,7.8731585,175.74193548387098,267.4561403508772,267.4561403508772,1.0
1040000,1.3819317,7.740072,175.57142857142858,284.0689655172414,284.0689655172414,1.0
1050000,1.3819524,8.177369,175.71428571428572,286.41379310344826,286.41379310344826,1.0
1060000,1.3819295,8.441551,175.7017543859649,280.7931034482759,280.7931034482759,1.0
1070000,1.3811678,9.661027,175.59649122807016,269.4732142857143,269.4732142857143,1.0
1080000,1.3811678,9.038961,175.71428571428572,275.8859649122807,275.8859649122807,1.0
1090000,1.3806944,10.046678,175.67857142857142,294.5,294.5,1.0
1100000,1.3806746,10.364706,175.60714285714286,284.625,284.625,1.0
1110000,1.3806998,9.962307,175.71428571428572,278.04464285714283,278.04464285714283,1.0
1120000,1.3807125,10.182176,175.67857142857142,262.3392857142857,262.3392857142857,1.0
1130000,1.3799525,11.39855,175.60714285714286,305.99107142857144,305.99107142857144,1.0
1140000,1.3795644,12.365148,175.71428571428572,316.50892857142856,316.50892857142856,1.0
1150000,1.3788848,12.004433,175.67857142857142,312.2767857142857,312.2767857142857,1.0
1160000,1.3782908,11.888605,175.6451612903226,299.20175438596493,299.20175438596493,1.0
1170000,1.3774375,12.564226,175.71428571428572,322.4913793103448,322.4913793103448,1.0
1180000,1.3762869,12.418853,175.57142857142858,338.2586206896552,338.2586206896552,1.0
1190000,1.3757125,13.228409,175.71929824561403,337.7155172413793,337.7155172413793,1.0
1200000,1.374445,14.04544,175.68421052631578,328.64285714285717,328.64285714285717,1.0
1210000,1.3741808,14.265494,175.60714285714286,330.5964912280702,330.5964912280702,1.0
1220000,1.3733221,15.215416,175.71428571428572,356.8392857142857,356.8392857142857,1.0
1230000,1.3731631,15.062946,175.67857142857142,351.83035714285717,351.83035714285717,1.0
1240000,1.3716546,14.681044,175.60714285714286,318.1517857142857,318.1517857142857,1.0
1250000,1.3716546,14.687975,175.71428571428572,335.73214285714283,335.73214285714283,1.0
1260000,1.3717471,14.99864,175.67857142857142,344.36607142857144,344.36607142857144,1.0
1270000,1.37176,13.918221,175.60714285714286,316.3392857142857,316.3392857142857,1.0
1280000,1.3703991,15.2227125,175.71428571428572,331.89285714285717,331.89285714285717,1.0
1290000,1.3700835,15.08144,175.61290322580646,371.98214285714283,371.98214285714283,1.0
1300000,1.368726,14.877008,175.71428571428572,332.5086206896552,332.5086206896552,1.0
1310000,1.36817,16.660215,175.71428571428572,369.7068965517241,369.7068965517241,1.0
1320000,1.3677427,17.081293,175.57894736842104,371.73728813559325,371.73728813559325,1.0
1330000,1.3674394,17.333693,178.8,352.3272727272727,352.3272727272727,1.0
1340000,1.3669938,17.98072,175.68421052631578,359.42105263157896,359.42105263157896,1.0
1350000,1.3665556,19.109503,175.625,369.76785714285717,369.76785714285717,1.0
1360000,1.3662152,19.391376,175.69642857142858,364.88392857142856,364.88392857142856,1.0
1370000,1.3659071,18.41707,175.67857142857142,354.70535714285717,354.70535714285717,1.0
1380000,1.3652825,19.760527,175.625,372.2857142857143,372.2857142857143,1.0
1390000,1.3642719,20.190783,178.9090909090909,370.41818181818184,370.41818181818184,1.0
1400000,1.3639705,21.537289,178.8909090909091,382.8454545454546,382.8454545454546,1.0
1410000,1.3631343,20.359943,175.625,370.7232142857143,370.7232142857143,1.0
1420000,1.3630157,21.926373,175.7017543859649,384.25,384.25,1.0
1430000,1.3627039,22.024258,175.62295081967213,383.94827586206895,383.94827586206895,1.0
1440000,1.3627607,20.868143,175.69642857142858,391.42241379310343,391.42241379310343,1.0
1450000,1.363125,21.320347,178.73214285714286,376.43859649122805,376.43859649122805,1.0
1460000,1.3631289,23.240484,175.60714285714286,390.50877192982455,390.50877192982455,1.0
1470000,1.3631546,21.796017,175.71929824561403,364.5175438596491,364.5175438596491,1.0
1480000,1.3629988,22.195244,175.66071428571428,383.25,383.25,1.0
1490000,1.361284,24.83674,175.625,419.99107142857144,419.99107142857144,1.0
1500000,1.3612841,24.158438,175.71428571428572,407.42857142857144,407.42857142857144,1.0
1510000,1.359979,24.75322,175.66071428571428,392.69642857142856,392.69642857142856,1.0
1520000,1.3599066,23.68745,175.625,368.83035714285717,368.83035714285717,1.0
1530000,1.3597022,24.348125,175.70909090909092,398.07272727272726,398.07272727272726,1.0
1540000,1.3596629,25.009968,178.8909090909091,397.96363636363634,397.96363636363634,1.0
1550000,1.3599179,24.229269,178.89285714285714,342.08035714285717,342.08035714285717,1.0
1560000,1.3599795,24.357555,175.70967741935485,393.5175438596491,393.5175438596491,1.0
1570000,1.3595313,24.725,175.60714285714286,385.62931034482756,385.62931034482756,1.0
1580000,1.3593401,22.460623,175.7017543859649,383.1101694915254,383.1101694915254,1.0
1590000,1.3587339,24.401613,175.69642857142858,378.14912280701753,378.14912280701753,1.0
1600000,1.3583373,23.292898,175.6140350877193,368.3125,368.3125,1.0
1610000,1.3581551,23.582205,175.69642857142858,356.10526315789474,356.10526315789474,1.0
1620000,1.3580576,25.137976,175.67857142857142,384.33035714285717,384.33035714285717,1.0
1630000,1.3575953,23.735142,175.625,368.63392857142856,368.63392857142856,1.0
1640000,1.3571746,26.751284,175.69642857142858,397.88392857142856,397.88392857142856,1.0
1650000,1.3570646,26.937098,175.6909090909091,393.55454545454546,393.55454545454546,1.0
1660000,1.3568999,25.687862,181.9090909090909,377.73636363636365,377.73636363636365,1.0
1670000,1.3567646,26.025389,178.9090909090909,389.93636363636364,389.93636363636364,1.0
1680000,1.356549,26.81555,175.69642857142858,378.57142857142856,378.57142857142856,1.0
1690000,1.3563076,24.678799,175.63934426229508,370.7280701754386,370.7280701754386,1.0
1700000,1.3556544,26.717657,185.5185185185185,416.95454545454544,416.95454545454544,1.0
1710000,1.355507,24.889284,178.6909090909091,379.3859649122807,379.3859649122807,1.0
1720000,1.3547306,27.53955,175.69642857142858,396.50877192982455,396.50877192982455,1.0
1730000,1.3544266,24.884861,178.78947368421052,362.94642857142856,362.94642857142856,1.0
1740000,1.3531297,27.204548,185.35849056603774,351.688679245283,351.688679245283,1.0
1750000,1.3530267,27.899885,178.9090909090909,378.0267857142857,378.0267857142857,1.0
1760000,1.3521702,29.575434,175.69642857142858,372.64285714285717,372.64285714285717,1.0
1770000,1.3521434,29.833118,175.6451612903226,403.00892857142856,403.00892857142856,1.0
1780000,1.3512083,29.704676,186.41666666666666,414.9166666666667,414.9166666666667,1.0
1790000,1.3512083,29.226048,178.9090909090909,378.7090909090909,378.7090909090909,1.0
1800000,1.350449,30.828646,175.625,396.1607142857143,396.1607142857143,1.0
1810000,1.3504161,30.127577,178.78181818181818,395.76363636363635,395.76363636363635,1.0
1820000,1.3503797,32.79706,178.46666666666667,414.6545454545454,414.6545454545454,1.0
1830000,1.350378,31.658272,175.69642857142858,411.0258620689655,411.0258620689655,1.0
1840000,1.3500774,31.521019,175.7017543859649,388.3474576271187,388.3474576271187,1.0
1850000,1.3500143,32.114407,175.60714285714286,409.1666666666667,409.1666666666667,1.0
1860000,1.3491492,32.389904,175.67857142857142,394.41964285714283,394.41964285714283,1.0
1870000,1.3488642,32.418,178.73214285714286,415.41818181818184,415.41818181818184,1.0
1880000,1.3482964,31.86141,175.6315789473684,398.82758620689657,398.82758620689657,1.0
1890000,1.3480339,32.22046,175.67857142857142,401.61607142857144,401.61607142857144,1.0
1900000,1.3476495,29.021778,175.69642857142858,368.1607142857143,368.1607142857143,1.0
1910000,1.3474482,31.952261,176.34545454545454,397.27272727272725,397.27272727272725,1.0
1920000,1.3472615,34.602974,175.67857142857142,404.3482142857143,404.3482142857143,1.0
1930000,1.3470955,32.61157,175.71428571428572,387.60714285714283,387.60714285714283,1.0
1940000,1.3467227,33.720673,178.64285714285714,401.8392857142857,401.8392857142857,1.0
1950000,1.3462086,31.087004,181.9814814814815,380.1111111111111,380.1111111111111,1.0
1960000,1.3456122,32.592213,175.63934426229508,399.1465517241379,399.1465517241379,1.0
1970000,1.3447679,34.777332,175.70909090909092,409.3454545454546,409.3454545454546,1.0
1980000,1.3441889,31.696394,178.68421052631578,377.85,377.85,1.0
1990000,1.3430258,33.498642,175.59649122807016,394.94642857142856,394.94642857142856,1.0
2000000,1.3426058,33.74015,175.69642857142858,409.92105263157896,409.92105263157896,1.0
2010000,1.3417548,33.934414,175.69642857142858,383.9642857142857,383.9642857142857,1.0
2020000,1.3418015,36.23615,175.60714285714286,407.33035714285717,407.33035714285717,1.0
2030000,1.3419763,34.02867,175.69642857142858,398.2232142857143,398.2232142857143,1.0
2040000,1.341861,33.14044,178.8,403.07272727272726,403.07272727272726,1.0
2050000,1.3410485,34.70336,178.8,404.26363636363635,404.26363636363635,1.0
2060000,1.3410034,35.08619,175.69642857142858,403.58035714285717,403.58035714285717,1.0
2070000,1.3405799,34.83061,175.7017543859649,397.6929824561403,397.6929824561403,1.0
2080000,1.340559,36.1804,175.6290322580645,411.63392857142856,411.63392857142856,1.0
2090000,1.3399354,34.316513,175.70909090909092,402.9736842105263,402.9736842105263,1.0
2100000,1.3399354,34.70265,175.60714285714286,401.8220338983051,401.8220338983051,1.0
2110000,1.339137,35.34709,175.69642857142858,396.20175438596493,396.20175438596493,1.0
2120000,1.3390319,34.17917,175.7017543859649,391.86607142857144,391.86607142857144,1.0
2130000,1.3379202,33.6982,175.59649122807016,373.83620689655174,373.83620689655174,1.0
2140000,1.3377432,36.966915,175.69642857142858,414.5357142857143,414.5357142857143,1.0
2150000,1.3374132,37.617695,175.71428571428572,421.07142857142856,421.07142857142856,1.0
2160000,1.3373464,37.02686,178.6909090909091,406.3727272727273,406.3727272727273,1.0
2170000,1.3366929,36.255497,175.67857142857142,396.64285714285717,396.64285714285717,1.0
2180000,1.3364183,36.28131,175.71929824561403,409.38392857142856,409.38392857142856,1.0
2190000,1.3353571,37.597427,175.58928571428572,418.2857142857143,418.2857142857143,1.0
2200000,1.3348027,36.695213,175.69642857142858,400.50892857142856,400.50892857142856,1.0
2210000,1.3343759,38.68504,175.71428571428572,432.7543859649123,432.7543859649123,1.0
2220000,1.3340169,37.922855,175.62295081967213,431.36842105263156,431.36842105263156,1.0
2230000,1.3337312,35.832993,175.69642857142858,418.7844827586207,418.7844827586207,1.0
2240000,1.3334043,37.404774,175.625,406.23275862068965,406.23275862068965,1.0
2250000,1.333122,41.1878,175.66666666666666,441.10714285714283,441.10714285714283,1.0
2260000,1.3327444,35.711918,178.75,392.2280701754386,392.2280701754386,1.0
2270000,1.3325874,39.47903,175.625,454.14285714285717,454.14285714285717,1.0
2280000,1.332325,40.515533,175.66071428571428,434.25892857142856,434.25892857142856,1.0
2290000,1.3320915,39.658844,175.71428571428572,434.44642857142856,434.44642857142856,1.0
2300000,1.3314744,38.075928,178.72727272727272,411.6909090909091,411.6909090909091,1.0
2310000,1.33123,38.980595,175.64285714285714,427.30357142857144,427.30357142857144,1.0
2320000,1.3303927,39.26968,175.71428571428572,413.19642857142856,413.19642857142856,1.0
2330000,1.3303002,37.815437,178.67857142857142,389.73636363636365,389.73636363636365,1.0
2340000,1.3295105,39.714718,178.74545454545455,454.89285714285717,454.89285714285717,1.0
2350000,1.329449,39.90727,175.70689655172413,420.859649122807,420.859649122807,1.0
2360000,1.3288791,40.116352,175.64406779661016,451.38793103448273,451.38793103448273,1.0
2370000,1.3288577,42.59311,175.66666666666666,463.07758620689657,463.07758620689657,1.0
2380000,1.3281758,44.604095,175.66071428571428,480.0892857142857,480.0892857142857,1.0
2390000,1.3281758,39.854885,175.64912280701753,443.19827586206895,443.19827586206895,1.0
2400000,1.3274106,39.882504,175.71153846153845,428.41346153846155,428.41346153846155,1.0
2410000,1.3273747,41.532585,188.08928571428572,452.50892857142856,452.50892857142856,1.0
2420000,1.3268533,43.367462,175.64285714285714,459.69642857142856,459.69642857142856,1.0
2430000,1.3268107,44.005287,175.69642857142858,464.70535714285717,464.70535714285717,1.0
2440000,1.326085,42.44339,175.66071428571428,436.75892857142856,436.75892857142856,1.0
2450000,1.3259429,43.42691,175.64285714285714,456.2232142857143,456.2232142857143,1.0
2460000,1.325637,46.008797,175.7017543859649,500.80357142857144,500.80357142857144,1.0
2470000,1.3255621,42.978542,178.72727272727272,474.7818181818182,474.7818181818182,1.0
2480000,1.3253471,43.912334,181.75438596491227,474.48214285714283,474.48214285714283,1.0
2490000,1.325248,44.056126,181.85714285714286,479.26785714285717,479.26785714285717,1.0
2500000,1.3247801,45.49633,175.67857142857142,461.4741379310345,461.4741379310345,1.0
2510000,1.3245519,43.82558,175.66666666666666,445.7767857142857,445.7767857142857,1.0
2520000,1.3240603,46.28833,175.66666666666666,478.5689655172414,478.5689655172414,1.0
2530000,1.3237457,46.792847,175.66071428571428,489.82142857142856,489.82142857142856,1.0
2540000,1.3234296,47.02665,175.66071428571428,468.4107142857143,468.4107142857143,1.0
2550000,1.3232318,47.05344,175.67857142857142,455.60714285714283,455.60714285714283,1.0
2560000,1.3227286,47.880203,185.79245283018867,492.14150943396226,492.14150943396226,1.0
2570000,1.3222644,47.513885,175.66666666666666,482.5625,482.5625,1.0
2580000,1.3219254,48.80777,175.66071428571428,491.4122807017544,491.4122807017544,1.0
2590000,1.3214854,46.605167,175.66071428571428,467.4642857142857,467.4642857142857,1.0
2600000,1.3212476,45.499928,175.68421052631578,467.280701754386,467.280701754386,1.0
2610000,1.3208656,46.120403,179.52727272727273,461.23148148148147,461.23148148148147,1.0
2620000,1.3207923,43.57119,178.73684210526315,439.03508771929825,439.03508771929825,1.0
2630000,1.3206278,47.248142,178.6315789473684,487.8421052631579,487.8421052631579,1.0
