Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
290000,1.4152309,83.69491525423729,8.190154,142.79491545487258,142.79491545487258,1.0
300000,1.4151167,90.08256880733946,8.782683,154.1366954462244,154.1366954462244,1.0
310000,1.4152522,87.0,8.430069,153.97739028930664,153.97739028930664,1.0
320000,1.4158428,85.30434782608695,8.085886,147.93912981748582,147.93912981748582,1.0
330000,1.4157771,82.55,8.109875,131.30333323013036,131.30333323013036,1.0
340000,1.4152182,91.49056603773585,8.13822,166.8383177184613,166.8383177184613,1.0
350000,1.4150901,90.21238938053098,8.206469,154.98918897322974,154.98918897322974,1.0
360000,1.4128568,84.28448275862068,7.766088,158.57692243808356,158.57692243808356,1.0
370000,1.4128315,91.91666666666667,8.344591,161.01388778178782,161.01388778178782,1.0
380000,1.4120829,87.375,8.376149,176.76249963683742,176.76249963683742,1.0
390000,1.4120829,88.29203539823008,8.760324,163.62654854766035,163.62654854766035,1.0
400000,1.4111731,96.87254901960785,9.179915,208.29803720525666,208.29803720525666,1.0
410000,1.4111334,94.58653846153847,9.427494,196.22476166749286,196.22476166749286,1.0
420000,1.4108373,96.6078431372549,9.680235,199.37941124392492,199.37941124392492,1.0
430000,1.4108125,93.90566037735849,9.141913,206.0990466549283,206.0990466549283,1.0
440000,1.4097401,98.24509803921569,11.2939415,216.1108884136423,216.1108884136423,1.0
450000,1.4095472,96.35643564356435,10.691579,223.6912611850257,223.6912611850257,1.0
460000,1.4077554,93.17142857142858,11.583685,192.4857140854001,192.4857140854001,1.0
470000,1.4073181,99.76237623762377,11.568504,221.61010068692644,221.61010068692644,1.0
480000,1.4071022,97.18627450980392,12.346768,224.77863991029054,224.77863991029054,1.0
490000,1.4070436,99.89795918367346,12.917929,228.34444306572578,228.34444306572578,1.0
500000,1.4075645,97.78217821782178,13.602008,247.15200096704066,247.15200096704066,1.0
510000,1.4077708,100.37623762376238,13.770815,250.65200037956237,250.65200037956237,1.0
520000,1.4079851,101.21649484536083,14.834482,252.96224500892723,252.96224500892723,1.0
530000,1.4080881,103.17525773195877,15.111627,268.56249917671084,268.56249917671084,1.0
540000,1.4073995,102.6,16.002941,257.85104212909937,257.85104212909937,1.0
550000,1.4069383,101.13265306122449,15.427296,270.26428415337386,270.26428415337386,1.0
560000,1.4058031,99.22,16.80413,257.8989996347576,257.8989996347576,1.0
570000,1.4049203,104.17894736842105,17.689497,268.59894555148327,268.59894555148327,1.0
580000,1.4044445,104.18947368421053,17.86934,288.77579030865115,288.77579030865115,1.0
590000,1.4039797,100.71717171717172,18.798275,291.520204558517,291.520204558517,1.0
600000,1.4031479,106.83516483516483,18.0813,300.85543434078926,300.85543434078926,1.0
610000,1.4021034,100.96,20.755476,283.8887767110552,283.8887767110552,1.0
620000,1.4011494,101.71134020618557,20.736347,287.8979608536679,287.8979608536679,1.0
630000,1.3996351,98.76,21.838604,278.7540017080307,278.7540017080307,1.0
640000,1.3989437,99.87628865979381,21.269182,294.69796245050975,294.69796245050975,1.0
650000,1.3975614,103.65306122448979,21.135126,293.1793814094103,293.1793814094103,1.0
